001|08|08|06|07|07|10|05
003|08|08|07|07|06|10|05
004|08|08|07|07|07|10|05
008|08|08|06|07|06|10|05
021|08|08|07|06|07|10|05
022|08|08|06|07|07|10|05
024|08|08|06|07|07|10|05
027|08|08|07|07|06|10|05
029|08|12|06|07|08|10|05
031|08|08|07|06|07|10|05
032|08|07|06|07|08|10|05
033|08|08|06|08|07|10|05
034|08|07|06|07|07|10|05
036|08|07|07|07|06|10|05
037|08|08|07|06|07|10|05
038|08|11|07|07|06|10|05
041|08|07|07|08|07|10|05
048|08|08|06|06|06|10|05
070|08|08|07|07|07|10|05
104|08|08|07|08|09|10|05
151|10|07|06|07|07|10|05
153|08|08|06|08|06|10|05
184|08|08|07|07|07|10|05
201|08|09|07|06|06|10|05
214|08|08|08|08|08|10|05
230|08|08|08|05|09|10|05
231|08|08|07|06|08|10|05
233|08|08|07|07|06|10|05
237|09|09|07|06|07|10|05
244|08|08|06|07|07|10|05
258|08|10|06|07|06|10|05
267|08|08|08|08|06|10|05
291|08|06|07|06|07|10|05
294|08|08|06|07|07|10|05
308|08|08|06|07|07|10|05
320|08|08|07|07|08|10|05
341|08|10|08|08|08|10|05
347|08|09|06|07|08|10|05
351|08|08|06|06|08|10|05
353|08|08|06|06|06|10|05
356|08|11|05|06|06|10|05
356|09|10|06|05|07|10|05
366|08|09|06|07|06|10|05
369|08|09|06|07|06|10|05
370|08|07|07|07|06|10|05
372|08|08|07|06|08|10|05
376|08|10|08|08|08|10|05
389|08|10|08|07|08|10|05
392|08|07|08|07|07|10|05
394|08|06|07|07|09|10|05
399|08|08|07|07|07|10|05
409|09|09|07|06|06|10|05
420|08|07|07|06|07|10|05
422|08|08|07|07|07|10|05
424|08|10|07|06|07|10|05
472|08|06|07|07|08|10|05
479|08|10|06|07|06|10|05
487|08|08|06|07|07|10|05
489|08|07|07|07|07|10|05
499|08|07|07|07|07|10|05
611|08|08|07|07|06|10|05
745|14|07|07|06|07|10|05
900|05|05|05|05|05|05|05
